index, score
0, 5.840918220201274e-07
1, 1.3635924915433861e-05
2, 2.3953554773470387e-05
3, 0.7763885259628296
4, 1.108360356738558e-05
5, 1.632693738429225e-06
6, 3.4912864066427574e-05
7, 1.1677798283926677e-06
8, 1.765183554880423e-07
9, 2.844424784598232e-07
10, 2.1061082122741936e-07
11, 9.006399750433047e-07
12, 1.989207476071897e-06
13, 3.174541416228749e-05
14, 2.8888498491141945e-06
15, 2.6044395440294466e-07
16, 0.7168928980827332
17, 0.913631021976471
18, 8.095967132248916e-07
19, 1.2254257853783201e-05
20, 8.617425919510424e-06
21, 4.7323081275862933e-07
22, 3.04511019066922e-07
23, 1.4869709957565647e-05
24, 8.136351425491739e-06
25, 1.632693738429225e-06
26, 4.578858536774533e-08
27, 3.424527676543221e-06
28, 4.5628149791809847e-07
29, 2.255859726574272e-05
30, 0.6465040445327759
31, 0.6876110434532166
32, 3.424527676543221e-06
33, 1.2021605755307974e-07
34, 6.38314418210939e-07
35, 2.6044395440294466e-07
36, 5.144353281139047e-07
37, 3.4669423598643334e-07
38, 1.0443037723462112e-07
39, 2.65857721615248e-07
40, 1.169821985058661e-06
41, 3.7078077639307594e-06
42, 1.3635924915433861e-05
43, 0.7471937537193298
44, 4.2696939317465876e-07
45, 9.102324156629038e-07
46, 0.7668062448501587
47, 3.3776398140616948e-06
48, 7.972644198162016e-06
49, 1.8771324050703697e-08
50, 0.7163077592849731
51, 0.9183007478713989
52, 4.995654876438493e-07
53, 3.8320422390825115e-06
54, 8.285033459287661e-07
55, 2.3817473504550435e-07
56, 0.7186715006828308
57, 5.26724193150585e-07
58, 3.0574908578273607e-06
59, 0.7244441509246826
60, 9.519400379076615e-08
61, 7.355619686677528e-07
62, 1.9423207220370386e-07
63, 7.052349246805534e-07
64, 2.1061082122741936e-07
65, 1.2293581903577433e-06
66, 2.40818349084293e-06
67, 2.3841947040637024e-05
68, 0.9231008887290955
69, 3.665323674795218e-06
70, 7.281876150955213e-06
71, 0.8072694540023804
72, 8.234906999859959e-06
73, 0.7306748628616333
74, 5.0510889195720665e-06
75, 2.8888498491141945e-06
76, 2.906897975663014e-07
77, 8.325372391482233e-07
78, 1.019023102344363e-06
79, 6.124251740402542e-06
80, 2.3817473504550435e-07
81, 2.6314082788303494e-05
82, 0.6235575675964355
83, 2.6044395440294466e-07
84, 1.5080148614288191e-06
85, 1.8173327731574318e-08
86, 4.821348511541146e-07
87, 0.7975906729698181
88, 2.1938043914815353e-07
89, 3.951969119952992e-06
90, 1.1468110642454121e-05
91, 1.1419447076832512e-07
92, 3.5442570833765785e-07
93, 0.707798182964325
94, 3.763168933801353e-05
95, 4.272671867511235e-05
96, 3.1978774472918303e-07
97, 1.632693738429225e-06
98, 3.424527676543221e-06
99, 1.4437412119150395e-06
100, 4.1512277675792575e-05
101, 1.3635924915433861e-05
102, 3.537178372425842e-06
103, 7.118145276763244e-06
104, 9.460326282351161e-07
105, 9.506037713435944e-06
106, 1.574377733959409e-06
107, 2.4739907189541555e-07
108, 0.6679044365882874
109, 0.7022024393081665
110, 0.7033981680870056
111, 0.8167292475700378
112, 1.7427295517791208e-07
113, 1.3398785085882992e-05
114, 4.5882592303314595e-07
115, 2.2865110622660723e-06
116, 3.829218186979233e-08
117, 1.101743578146852e-06
118, 0.7320760488510132
119, 1.3635924915433861e-05
120, 1.3635924915433861e-05
121, 4.749228992295684e-06
122, 1.2293581903577433e-06
123, 2.429597770969849e-06
124, 4.440272732608719e-06
125, 9.247983712157293e-07
126, 3.424527676543221e-06
127, 2.40818349084293e-06
128, 5.2172413234075066e-06
129, 3.1237806297212956e-07
130, 2.3817473504550435e-07
131, 4.995654876438493e-07
132, 3.04511019066922e-07
133, 0.8040457963943481
134, 9.674299690232147e-06
135, 8.52893649039288e-08
136, 2.0325472860349691e-07
137, 0.7702235579490662
138, 6.063426098990021e-07
139, 0.00010945625399472192
140, 1.2057855201419443e-05
141, 2.7105771849278426e-08
142, 5.029681915402762e-07
143, 2.358064875807031e-06
144, 1.3635924915433861e-05
145, 1.6164394764928147e-05
146, 1.3635924915433861e-05
147, 8.251427061622962e-07
148, 4.591522539953985e-08
149, 1.6410062926297542e-06
150, 2.2687962086820335e-07
151, 1.3635924915433861e-05
152, 6.063426098990021e-07
153, 3.073439802392386e-05
154, 8.721928566046699e-07
155, 1.1739100500562927e-06
156, 2.2190895379026188e-06
157, 3.3312466030110954e-07
158, 9.49397858107659e-08
159, 4.2272190512449015e-06
160, 0.6646367907524109
161, 1.6459952121294918e-06
162, 0.9315556287765503
163, 2.171096866732114e-07
164, 1.9332157535245642e-05
165, 6.730047061864752e-07
166, 4.617051672539674e-06
167, 4.749228992295684e-06
168, 3.747278753962746e-07
169, 1.4437412119150395e-06
170, 7.844369974918664e-06
171, 3.174541416228749e-05
172, 7.187762207649939e-07
173, 6.296087576629361e-06
174, 4.749228992295684e-06
175, 6.711818514304468e-07
176, 1.536982807692766e-07
177, 4.7036110117915086e-07
178, 1.9688732209033333e-06
179, 1.727231210679747e-05
180, 5.830494842484768e-07
181, 4.761825209698145e-07
182, 6.678364115941804e-06
183, 1.1583463219722034e-06
184, 1.6164394764928147e-05
185, 3.0292056862890604e-07
186, 3.83873612008756e-06
187, 3.6244459806766827e-06
188, 1.632693738429225e-06
189, 0.7525246739387512
190, 0.7185041308403015
191, 0.7276097536087036
192, 6.2585882005805615e-06
193, 7.281876150955213e-06
