index, score
0, 0.0019703922934768857
1, 0.004378120506190786
2, 0.002495568745078161
3, 0.9537531738106868
4, 0.0032527054176518812
5, 0.004588181521651711
6, 0.001958451185101729
7, 0.003455089863993652
8, 0.0036834176950315926
9, 0.004637216698290617
10, 0.002503914246189658
11, 0.0036406899458705246
12, 0.004000941764892297
13, 0.005995397367303047
14, 0.0025432463022675993
15, 0.002271925406327074
16, 0.9274601457705958
17, 0.9999894052254317
18, 0.004583264073754784
19, 0.002996682996061316
20, 0.0038880389647123962
21, 0.0017848210964987565
22, 0.0020239394096171646
23, 0.003775904178760212
24, 0.003798244780487736
25, 0.004588181521651711
26, 0.003652972756668904
27, 0.0024207567301746096
28, 0.0023692764592253093
29, 0.006807159974965002
30, 0.9558115113976235
31, 0.9483917265208262
32, 0.0024207567301746096
33, 0.0024010443840666983
34, 0.0035253542373373864
35, 0.002271925406327074
36, 0.0019703922934768857
37, 0.0016608695316594514
38, 0.003913711198464637
39, 0.0029060177317182558
40, 0.0024533925795366066
41, 0.0024681529430033906
42, 0.004378120506190786
43, 0.9334669846294538
44, 0.003589356022956617
45, 0.0019015192092609648
46, 0.9414554422622831
47, 0.002265712244782193
48, 0.00331739298221381
49, 0.0031029483806775484
50, 0.9479494184846365
51, 0.9999873244387645
52, 0.0022118318962745568
53, 0.004957627135971666
54, 0.0032983302912429234
55, 0.004192982062065043
56, 0.9705269860678977
57, 0.005072908637705408
58, 0.003614389132179365
59, 0.9226616554471108
60, 0.002619235240286108
61, 0.0021318652002839454
62, 0.00247143673787465
63, 0.004693940831365952
64, 0.002503914246189658
65, 0.003911817594996103
66, 0.0031413446054799547
67, 0.002853028103292083
68, 0.999985640891104
69, 0.0032381471355717923
70, 0.003553254316129321
71, 0.9666568649817201
72, 0.005945957025046294
73, 0.9374512026879401
74, 0.0016562582021586176
75, 0.0025432463022675993
76, 0.0025963048078492174
77, 0.0014398437656227847
78, 0.0025127669874848236
79, 0.0032288179222755673
80, 0.004192982062065043
81, 0.003854043549343757
82, 0.928334293062314
83, 0.002271925406327074
84, 0.0028766941708928996
85, 0.000991882045503625
86, 0.0008285864437389867
87, 0.9640388063247533
88, 0.0041828380109646575
89, 0.002969735043030839
90, 0.002284621861457783
91, 0.002120332840715463
92, 0.0021113602003611782
93, 0.8925323167836494
94, 0.005707594320807234
95, 0.0032798253929207082
96, 0.0018579987345804824
97, 0.004588181521651711
98, 0.0024207567301746096
99, 0.002740352771613766
